date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:37	32509/32509	---MCZ	200	added ('OK')	text/html	etag:W/%228b8c94-7efd-555c6e52e7ae4%22	http://project321466.tilda.ws/page1339698.html	D:/Soft%20work/WinHTTrack/download/test/project321466.tilda.ws/page1339698.html	(from )
18:47:38	104/104	---M--	200	added ('OK')	text/plain	etag:%228b1bbd-68-5554af4b6b92f%22	http://project321466.tilda.ws/robots.txt		(from )
18:47:38	17285/17285	---M--	200	added ('OK')	image/png	etag:%22425d7976f2d442a20d5e973832b5ebd9%22	https://static.tildacdn.com/tild3736-3065-4538-b538-393662323437/if_record_40555.png	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild3736-3065-4538-b538-393662323437/if_record_40555.png	(from http://project321466.tilda.ws/page1339698.html)
18:47:38	4112/4112	---M-Z	200	added ('OK')	text/css	etag:%22ca71b00159f4bdb6a919d7a8bbcbd949%22	http://static.tildacdn.com/css/tilda-grid-3.0.min.css	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from http://project321466.tilda.ws/page1339698.html)
18:47:39	37972/37972	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202017%2015:27:00%20GMT	http://tilda.ws/project321466/tilda-blocks-2.12.css?t=1501687614	D:/Soft%20work/WinHTTrack/download/test/tilda.ws/project321466/tilda-blocks-2.12f97c.css	(from http://project321466.tilda.ws/page1339698.html)
18:47:39	3498/3498	---M-Z	200	added ('OK')	text/css	etag:%222c290d58744fbe75c20d01d8d2158740%22	http://static.tildacdn.com/css/tilda-zoom-1.0.min.css	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/css/tilda-zoom-1.0.min.css	(from http://project321466.tilda.ws/page1339698.html)
18:47:39	4499/4499	---M-Z	200	added ('OK')	text/css	etag:%2256da2e2c03e77fbd12c60daf3cae6f82%22	http://static.tildacdn.com/css/tilda-slides-1.0.min.css	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/css/tilda-slides-1.0.min.css	(from http://project321466.tilda.ws/page1339698.html)
18:47:40	1723/1723	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Aug%202017%2015:27:00%20GMT	http://tilda.ws/project321466/tilda-blocks-2.6.js?t=1501687614	D:/Soft%20work/WinHTTrack/download/test/tilda.ws/project321466/tilda-blocks-2.6f97c.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:40	4916/4916	---M-Z	200	added ('OK')	application/javascript	etag:%2278f068548a52653409e05d24f8bac3bf%22	http://static.tildacdn.com/js/tilda-zoom-1.0.min.js	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/js/tilda-zoom-1.0.min.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:41	4021/4021	---M-Z	200	added ('OK')	application/javascript	etag:%22ad6a79219955687858a8f6f031010c29%22	http://static.tildacdn.com/js/tilda-slides-1.1.min.js	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/js/tilda-slides-1.1.min.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:41	26887/26887	---M-Z	200	added ('OK')	application/javascript	etag:%223ea922ecf33b0fe343f516862d935f39%22	http://static.tildacdn.com/js/tilda-scripts-2.8.min.js	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/js/tilda-scripts-2.8.min.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:41	20765/20765	---M-Z	200	added ('OK')	application/javascript	etag:%2215065981497259d972918a646ab771e0%22	http://static.tildacdn.com/js/hammer.min.js	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/js/hammer.min.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:41	6798/6798	---M-Z	200	added ('OK')	application/javascript	etag:%22f3adf756d5ac247fee208e37162d0409%22	http://static.tildacdn.com/js/lazyload-1.3.min.js	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/js/lazyload-1.3.min.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:42	93064/93064	---M-Z	200	added ('OK')	application/javascript	etag:%22bdce12c949e78d570c8d44e9c2b23508%22	http://static.tildacdn.com/js/jquery-1.10.2.min.js	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/js/jquery-1.10.2.min.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:43	38055/38055	---M--	200	added ('OK')	text/javascript	etag:%2252eec9e33eeecdd9047252b446d37bbc%22	http://static.tildacdn.com/js/tilda-forms-1.0.min.js	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/js/tilda-forms-1.0.min.js	(from http://project321466.tilda.ws/page1339698.html)
18:47:43	874/874	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Aug%202017%2015:47:43%20GMT	https://static.tildacdn.com/tild6433-3262-4134-a135-393064353531/-/resize/20x/image1.JPG	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild6433-3262-4134-a135-393064353531/-/resize/20x/image1.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:43	913/913	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Aug%202017%2015:47:45%20GMT	https://static.tildacdn.com/tild3734-3562-4838-a538-383365313539/-/resize/20x/U_hOFbOl6P8.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild3734-3562-4838-a538-383365313539/-/resize/20x/U_hOFbOl6P8.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:44	858/858	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Aug%202017%2015:47:45%20GMT	https://static.tildacdn.com/tild6566-3039-4237-b133-373864636363/-/resize/20x/sAO0UDFnLqc.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild6566-3039-4237-b133-373864636363/-/resize/20x/sAO0UDFnLqc.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:44	915/915	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Aug%202017%2015:47:45%20GMT	https://static.tildacdn.com/tild6135-3937-4566-b530-346632363332/-/resize/20x/a8NAHXhyEb8.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild6135-3937-4566-b530-346632363332/-/resize/20x/a8NAHXhyEb8.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:44	871/871	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Aug%202017%2015:47:46%20GMT	https://static.tildacdn.com/tild6536-3735-4662-b930-656262613263/-/resize/20x/Q6CCw3NxBx0.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild6536-3735-4662-b930-656262613263/-/resize/20x/Q6CCw3NxBx0.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:44	201518/201518	---M--	200	added ('OK')	image/jpeg	etag:%2295b46be943f3941684edce9ca0964398%22	https://static.tildacdn.com/tild6536-3735-4662-b930-656262613263/Q6CCw3NxBx0.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild6536-3735-4662-b930-656262613263/Q6CCw3NxBx0.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:45	885/885	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Aug%202017%2015:47:47%20GMT	https://static.tildacdn.com/tild3063-3934-4034-a361-316664326438/-/resize/20x/_OH57iL_eFA.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild3063-3934-4034-a361-316664326438/-/resize/20x/_OH57iL_eFA.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:45	124392/124392	---M--	200	added ('OK')	image/jpeg	etag:%22ce9afe8dd31f97fc388a9e2265ceb093%22	https://static.tildacdn.com/tild3063-3934-4034-a361-316664326438/_OH57iL_eFA.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild3063-3934-4034-a361-316664326438/_OH57iL_eFA.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:45	917/917	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Aug%202017%2015:47:47%20GMT	https://static.tildacdn.com/tild3439-3834-4138-b032-336566633462/-/resize/20x/FrXyI6Yq8Y.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild3439-3834-4138-b032-336566633462/-/resize/20x/FrXyI6Yq8Y.jpg	(from http://project321466.tilda.ws/page1339698.html)
18:47:46	110224/110224	---M--	200	added ('OK')	image/jpeg	etag:%22c7f5dbdd88a80e0e6af215137832fc60%22	https://static.tildacdn.com/tild3439-3834-4138-b032-336566633462/FrXyI6Yq8Y.jpg	D:/Soft%20work/WinHTTrack/download/test/static.tildacdn.com/tild3439-3834-4138-b032-336566633462/FrXyI6Yq8Y.jpg	(from http://project321466.tilda.ws/page1339698.html)
